Date,Open,High,Low,Close,Volume
2014-03-11,64.1126,64.2643,62.8726,63.2013,18064420.334317
2014-03-12,62.9532,63.5144,62.895,63.3373,14436946.339102
2014-03-13,63.49,63.5776,62.7451,62.9532,14685077.331196
2014-03-14,62.9144,63.3443,62.7189,62.8394,17450443.968516
2014-03-17,63.1614,63.5533,63.0292,63.4093,12905304.117239
2014-03-18,63.4706,64.0376,63.2431,63.6729,13026010.766804
2014-03-19,63.6321,64.0667,62.609,63.0145,14720659.613044
2014-03-20,62.8327,63.6942,62.5283,63.5854,15476860.222618
2014-03-21,63.9355,64.5326,63.4045,63.4045,36416518.95468
2014-03-24,63.7118,63.9355,63.5184,63.6262,14189875.494176
2014-03-25,63.9355,64.4207,63.7332,63.8062,14576299.650876
2014-03-26,64.2438,64.2573,63.4706,63.6661,16411869.921818
2014-03-27,63.6204,64.8739,63.2372,64.7008,22947539.42134
2014-03-28,64.8565,65.863,64.8565,65.6821,18328004.179597
2014-03-31,66.2141,66.4552,65.4293,65.6694,18407448.379561
2014-04-01,65.649,65.8378,65.401,65.7026,14094067.393122
2014-04-02,65.5694,65.9253,65.3339,65.8484,14206548.904769
2014-04-03,65.7696,66.2491,65.5917,65.8378,15049521.171839
2014-04-04,66.0857,66.3639,65.401,65.4516,18587280.598605
2014-04-07,65.3778,65.5694,65.0441,65.0626,15062423.913506
2014-04-08,65.2192,65.8056,65.0441,65.5168,15247283.348362
2014-04-09,65.7171,65.7443,64.9614,65.437,15565880.708297
2014-04-10,65.1987,65.7395,64.695,65.0626,20005999.152389
2014-04-11,64.8807,65.51,64.728,65.0246,19861145.620248
2014-04-14,65.5412,65.9253,65.0393,65.7901,14295405.895395
2014-04-15,65.6004,66.3551,65.26,66.3414,19279910.424146
2014-04-16,66.5924,67.2965,66.536,67.1885,18605093.333215
2014-04-17,67.0213,67.8838,67.0213,67.5085,22965531.075064
2014-04-21,67.2497,67.8576,67.1564,67.8576,11904806.937285
2014-04-22,67.5843,67.806,67.3752,67.4774,12215369.389394
2014-04-23,67.6261,67.8712,67.4492,67.5639,12927572.349111
2014-04-24,67.5513,67.633,67.1349,67.2401,13472960.997775
2014-04-25,67.2245,67.6106,67.1808,67.5026,15464104.523672
2014-04-28,67.7147,68.2116,67.4335,68.0142,18906492.864462
2014-04-29,68.2885,68.9575,68.054,68.2068,15010147.65565
2014-04-30,67.9947,68.8554,67.7068,68.8554,20774935.923764
2014-05-01,68.5481,68.8408,68.0346,68.1785,16600881.514057
2014-05-02,68.0405,69.1832,67.8888,68.5792,16614690.162275
2014-05-05,68.3623,69.3281,68.2885,69.1832,11325837.021698
2014-05-06,68.974,69.4476,68.8554,69.0198,14381974.983548
2014-05-07,69.3203,69.5508,69.1005,69.3154,16372827.508817
2014-05-08,69.3047,69.4409,68.69,68.7932,13272398.839937
2014-05-09,68.8612,69.1597,68.5403,68.9993,13221049.054047
2014-05-12,69.2599,69.2735,68.7251,69.1929,13046305.747062
2014-05-13,69.1597,69.5226,68.9945,69.2794,11123089.788466
2014-05-14,69.2794,69.5032,69.1093,69.2356,10340660.048
2014-05-15,69.1238,69.3203,67.912,68.2116,20179618.559418
2014-05-16,68.0823,68.3623,67.9062,68.1844,15320010.883633
2014-05-19,67.986,68.4383,67.9723,68.2729,8644913.008573
2014-05-20,68.1504,68.4158,67.9947,68.1338,9071417.1034833
2014-05-21,68.2592,69.1832,68.1717,69.0538,11446929.272804
2014-05-22,68.9167,69.011,68.6843,68.7057,7836711.7177095
2014-05-23,68.7386,68.9866,68.5481,68.5792,7994692.154545
2014-05-27,68.7786,68.974,68.3138,68.6074,12350791.622
2014-05-28,68.5675,69.083,68.3944,68.4012,11209010.037762
2014-05-29,68.7329,68.8078,68.376,68.5481,9032400.3972519
2014-05-30,68.2233,68.4635,67.9404,68.0405,16996616.662611
2014-06-02,68.0405,68.2816,67.4627,67.6455,11468181.573151
2014-06-03,67.4103,68.1504,67.4103,67.9539,13864397.974496
2014-06-04,67.8303,68.0016,67.6572,67.7147,10569508.906548
2014-06-05,67.7506,68.2467,67.6572,68.054,18166931.732545
2014-06-06,68.0968,68.7932,68.0891,68.7728,13800337.733574
2014-06-09,68.5618,69.0061,68.4907,68.7173,9462165.1387852
2014-06-10,68.69,68.8612,68.3623,68.6755,11697471.559861
2014-06-11,68.4907,69.2599,68.3623,68.9993,15173513.146526
2014-06-12,69.3563,69.6859,68.7523,68.8155,16873630.336741
2014-06-13,68.9866,69.4865,68.7932,69.4788,12175147.549817
2014-06-16,69.4272,69.8853,69.153,69.6646,13262954.172882
2014-06-17,69.434,69.4409,68.6706,69.3203,13874287.882796
2014-06-18,69.4272,69.6859,69.0771,69.5371,14147533.360263
2014-06-19,69.4545,69.6081,68.8282,69.4691,16409174.824119
2014-06-20,69.9076,70.4357,69.6781,70.2733,26122109.497804
2014-06-23,70.4708,70.8189,70.3084,70.6565,12637310.018613
2014-06-24,70.5184,70.7197,69.3563,69.5371,14341827.179466
2014-06-25,69.2599,69.4623,68.7251,69.1296,15831927.262078
2014-06-26,68.9945,69.295,68.2592,69.0538,12446252.167534
2014-06-27,68.8204,68.904,68.1289,68.5062,22379450.667077
2014-06-30,68.5062,68.5481,68.0346,68.1435,14089121.410701
2014-07-01,68.4635,68.7659,68.2184,68.6074,12416498.124431
2014-07-02,68.4635,68.8029,68.3867,68.7523,10274526.813198
2014-07-03,68.9993,69.8999,68.8282,69.4409,10227572.884866
2014-07-07,69.2599,69.4788,69.0489,69.4788,11789922.356841
2014-07-08,69.2405,69.8766,69.153,69.6081,14205014.724775
2014-07-09,69.6928,70.1761,69.5945,70.0837,11310456.147468
2014-07-10,69.6334,69.7667,69.0606,69.4272,12607850.06095
2014-07-11,69.3124,69.3796,68.5792,68.8681,11360640.90257
2014-07-14,69.153,69.7744,69.1443,69.5032,12193306.811678
2014-07-15,69.3961,69.4476,68.8681,69.3047,12942558.367364
2014-07-16,69.4185,70.2461,69.4039,70.2315,13118698.066062
2014-07-17,69.9719,70.3151,69.2356,69.2463,12034619.952821
2014-07-18,69.5119,69.6928,68.9429,69.5371,12127037.845134
2014-07-21,69.2794,69.8522,69.0771,69.7744,9798771.6330475
2014-07-22,70.1333,70.5261,70.0545,70.0769,10971855.836176
2014-07-23,70.1391,70.7031,70.071,70.5622,10366536.482015
2014-07-24,70.6681,70.885,70.3589,70.5836,11735137.118296
2014-07-25,70.3443,70.3861,69.6928,69.8454,11501268.241831
2014-07-28,69.9135,70.7527,69.6081,70.6477,13589003.411112
2014-07-29,70.533,70.9084,70.071,70.0837,11900456.323642
2014-07-30,70.1955,70.5,69.4272,69.8853,16358130.43465
2014-07-31,69.0198,69.0198,66.9638,66.9698,27031915.252072
2014-08-01,66.7528,67.3811,66.4542,66.8754,22036531.618537
2014-08-04,66.8326,67.9783,66.5418,67.773,17953647.808695
2014-08-05,67.2712,67.3752,66.185,66.4669,19310670.116066
2014-08-06,66.4669,67.4492,66.4669,66.995,14650500.698165
2014-08-07,67.5299,67.5785,66.0808,66.5155,14799627.723641
2014-08-08,66.851,67.5464,66.5496,67.5085,16557217.02393
2014-08-11,67.666,67.7613,67.1564,67.2906,12610521.508421
2014-08-12,66.9366,67.2614,66.6712,67.1282,14061582.262843
2014-08-13,67.4201,67.6874,67.1215,67.5386,11223382.178364
2014-08-14,67.5464,67.666,67.2031,67.5386,9606478.8287695
2014-08-15,67.6398,67.769,66.8909,67.4978,13549052.006747
2014-08-18,67.666,67.8372,67.5464,67.8303,10479815.931783
2014-08-19,67.8149,68.1241,67.769,67.808,13040616.324872
2014-08-20,67.8508,68.0891,67.5026,67.9539,9906639.2937341
2014-08-21,68.023,68.2068,67.6525,67.666,10015422.115409
2014-08-22,67.4093,67.4627,66.8463,67.1342,11878398.887279
2014-08-25,67.3452,67.4093,67.1342,67.3082,11106625.116839
2014-08-26,67.558,68.3692,67.49,67.912,12524417.198655
2014-08-27,68.0064,68.1289,67.5386,67.8372,8581943.7629425
2014-08-28,67.5026,67.9783,67.4822,67.8654,8896029.0707226
2014-08-29,67.7361,67.9324,67.2848,67.7915,13019383.561669
2014-09-02,67.769,67.8791,66.6662,67.1282,13155518.38592
2014-09-03,67.3811,67.8791,67.3811,67.5513,12443295.889059
2014-09-04,67.4774,67.7837,66.7723,67.0397,14176846.275204
2014-09-05,67.2983,67.6797,66.8705,67.6525,13917531.810177
2014-09-08,67.4201,67.4201,66.4202,66.6371,14787875.61697
2014-09-09,66.5836,66.8161,66.0847,66.3784,14322163.557464
2014-09-10,66.3589,66.4747,65.3116,65.9836,17766582.733031
2014-09-11,65.649,66.1947,65.3077,66.1343,14937615.491826
2014-09-12,65.7852,65.8348,65.1803,65.2825,15067313.341035
2014-09-15,65.2464,65.7036,65.0228,65.6277,15691276.272589
2014-09-16,65.5898,66.8296,65.4449,66.4057,16993807.426857
2014-09-17,66.7334,66.747,65.9778,66.1673,12878694.526161
2014-09-18,66.2423,66.3307,65.7579,65.8455,12671606.961994
2014-09-19,66.1673,66.4961,66.0234,66.1947,26671323.313747
2014-09-22,66.0458,66.1159,65.615,65.7998,12947791.237331
2014-09-23,65.6218,66.2209,65.4497,65.4497,15113059.051208
2014-09-24,65.3437,65.6004,64.6415,65.3077,17899758.193996
2014-09-25,65.1987,65.3592,64.2048,64.2389,18859655.130727
2014-09-26,64.2583,65.2678,63.9315,65.0432,16514006.001212
2014-09-29,64.5502,64.5998,63.9315,64.3605,20574289.44772
2014-09-30,64.1426,64.6172,63.807,64.1028,22857260.332234
2014-10-01,64.1426,64.4374,63.1935,63.2917,20582441.578414
2014-10-02,62.9727,63.9997,62.7451,63.5903,20183536.271066
2014-10-03,63.7945,64.1426,63.1011,64.0153,16977732.469854
2014-10-06,64.0483,64.9751,64.0075,64.4237,15551541.472359
2014-10-07,64.2526,64.8779,63.6136,63.6379,15827572.535352
2014-10-08,63.6729,64.6318,62.9902,64.484,22877109.042976
2014-10-09,64.0969,64.4022,62.4505,62.5837,26287230.246891
2014-10-10,62.8813,63.5679,61.9554,62.432,26663422.081123
2014-10-13,62.2404,63.0661,61.8601,61.9137,21203229.209819
2014-10-14,62.359,62.8618,61.3798,61.7191,33922331.998843
2014-10-15,60.6592,61.756,59.2353,61.4936,36244774.08527
2014-10-16,60.3723,62.2073,60.1029,61.7503,36993631.81325
2014-10-17,62.1111,62.8745,61.6822,62.1664,26694557.091875
2014-10-20,61.7717,62.6294,61.7717,62.5488,15883200.95593
2014-10-21,63.2917,64.0902,62.9484,63.8304,23118629.282266
2014-10-22,64.059,64.4675,63.3744,63.4745,18696075.75953
2014-10-23,64.273,64.735,63.9793,64.1426,16652506.876514
2014-10-24,64.1981,64.4304,63.5368,64.4022,14290542.174636
2014-10-27,63.9667,63.9667,63.2314,63.8693,16717954.254709
2014-10-28,64.3868,64.8837,64.0191,64.8166,18443283.616019
2014-10-29,65.0149,65.4186,63.807,64.4675,18208022.460926
2014-10-30,63.9793,64.5239,63.5368,64.3741,14331424.164051
2014-10-31,64.7427,66.0401,64.2797,65.9146,25666693.513553
2014-11-03,65.8144,66.182,64.6124,64.9265,19675090.306482
2014-11-04,64.5355,64.6755,63.9928,64.4237,19801243.706335
2014-11-05,64.9936,65.2756,64.5132,64.7962,18310252.112962
2014-11-06,64.9138,65.7181,64.2583,65.6063,21612766.836967
