stock,date,open,close,sentiment_score
nvda,2024-10-09,134.101,132.641,1.0
nvda,2024-10-14,136.461,138.06,0.9999986886978148
nvda,2024-10-15,137.861,131.591,0.9999999403953552
nvda,2024-10-16,133.971,135.711,0.9999995231628418
nvda,2024-10-17,139.33,136.921,0.0
nvda,2024-10-18,138.655,137.99,1.0
nvda,2024-10-21,138.12,143.7,0.0015810132026671808
nvda,2024-10-22,142.9,143.58,0.0
nvda,2024-10-23,142.02,139.55,0.9999319314956664
nvda,2024-10-24,140.81,140.4,0.9999823172887167
nvda,2024-10-28,142.99,140.51,0.9676826000213624
nvda,2024-10-30,139.53,139.325,0.0
nvda,2024-10-31,137.591,132.751,0.994956910610199
nvda,2024-11-01,134.691,135.361,0.9995367527008056
nvda,2024-11-04,137.201,136.041,0.9989343285560608
nvda,2024-11-05,137.441,139.9,0.9434221386909484
nvda,2024-11-06,142.95,145.6,0.9999998807907104
nvda,2024-11-07,146.38,148.87,0.0
nvda,2024-11-08,148.76,147.62,0.0
nvda,2024-11-11,148.67,145.25,0.9999558925628662
nvda,2024-11-12,146.77,148.28,0.7544055581092834
nvda,2024-11-13,149.06,146.26,0.9340975284576416
nvda,2024-11-14,147.63,146.75,0.9998292922973633
nvda,2024-11-15,144.86,141.97,0.9997870624065399
nvda,2024-11-18,139.49,140.14,0.7948431372642517
nvda,2024-11-19,141.31,147.0,0.0
nvda,2024-11-20,147.4,145.88,0.9999043941497804
nvda,2024-11-21,149.34,146.66,0.6802999835747939
nvda,2024-11-22,145.92,141.94,0.9998792409896852
nvda,2024-11-23,141.98,136.011,0.8932244181632996
nvda,2024-11-24,137.691,136.911,0.0
nvda,2024-11-25,141.98,136.011,0.0
nvda,2024-11-26,137.691,136.911,0.9999784231185912
nvda,2024-11-27,135.001,135.331,1.0
nvda,2024-11-28,136.771,138.24,0.0
nvda,2024-11-29,136.771,138.24,0.9999618530273438
nvda,2024-12-01,138.25,140.25,0.0
nvda,2024-12-03,138.25,140.25,0.6766968369483948
nvda,2024-12-05,145.11,145.06,0.998269110918045
nvda,2024-12-06,144.6,142.44,0.0
nvda,2024-12-09,138.97,138.81,0.0
nvda,2024-12-11,137.36,139.31,0.9998915195465088
nvda,2024-12-12,137.08,137.34,0.0
nvda,2024-12-13,138.94,134.25,0.0
nvda,2024-12-15,129.09,130.39,0.9999998807907104
nvda,2024-12-16,134.18,132.0,0.9010595977306366
nvda,2024-12-17,129.09,130.39,0.8665659427642822
nvda,2024-12-18,133.86,128.91,0.999252200126648
nvda,2024-12-20,129.81,134.7,1.0
nvda,2024-12-23,136.28,139.67,0.0
nvda,2024-12-24,140.0,140.22,0.9996388852596284
nvda,2024-12-30,134.83,137.49,0.999555766582489
nvda,2025-01-02,136.0,138.31,0.0
nvda,2025-01-03,140.01,144.47,0.9532539248466492
nvda,2025-01-06,148.59,149.43,1.0
nvda,2025-01-07,153.03,140.14,0.7370103862550523
nvda,2025-01-08,142.58,140.11,0.4734122157096864
nvda,2025-01-09,137.45,135.91,0.9999999602635702
nvda,2025-01-10,137.45,135.91,0.0
nvda,2025-01-13,129.99,133.23,-0.16476291418075567
nvda,2025-01-14,136.05,131.76,0.38104280829429626
nvda,2025-01-15,133.65,136.24,0.0
nvda,2025-01-17,136.69,137.71,0.9998768170674642
nvda,2025-01-21,139.16,140.83,-0.9995123147964478
nvda,2025-01-22,144.66,147.07,0.9999815225601196
nvda,2025-01-23,145.05,147.22,0.9592980742454528
nvda,2025-01-24,148.37,142.62,0.0
nvda,2025-01-26,121.81,128.99,1.0
nvda,2025-01-27,124.8,118.42,0.5420746505260468
nvda,2025-01-28,121.81,128.99,0.9998525679111481
nvda,2025-01-29,126.5,123.7,-0.45343755185604095
nvda,2025-01-30,123.1,124.65,0.0
nvda,2025-01-31,123.78,120.07,0.0
nvda,2025-02-03,114.75,116.66,0.9055711030960083
nvda,2025-02-04,116.96,118.65,0.9999999403953552
nvda,2025-02-05,121.76,124.83,-0.9999819993972778
nvda,2025-02-06,127.42,128.68,-0.006896197795867948
nvda,2025-02-07,129.22,129.84,0.999996304512024
nvda,2025-02-10,130.09,133.57,0.3216252923011779
nvda,2025-02-12,130.02,131.14,0.8728883266448975
nvda,2025-02-13,131.555,135.29,0.33563284079233807
nvda,2025-02-14,136.48,138.85,0.9988138675689696
nvda,2025-02-17,141.27,139.4,0.0
nvda,2025-02-18,141.27,139.4,0.9999805688858032
nvda,2025-02-19,139.51,139.23,0.33613266547520954
nvda,2025-02-20,140.03,140.11,0.6001256555318832
nvda,2025-02-21,140.04,134.43,0.0
nvda,2025-02-23,129.98,126.63,0.0
nvda,2025-02-24,136.56,130.28,0.0
nvda,2025-02-25,129.98,126.63,0.2908815840880076
nvda,2025-02-26,129.985,131.28,0.9999955892562866
nvda,2025-02-27,135.0,120.15,0.32719359132978654
nvda,2025-02-28,118.02,124.92,-0.2289134681224823
nvda,2025-03-01,123.51,114.06,0.0
nvda,2025-03-03,123.51,114.06,-0.9998327096303304
nvda,2025-03-04,110.645,115.99,-0.9285724759101868
